"","edad","prima","per_50","per_90"
"1",20,465199.523323719,478906.570327492,600302.417612603
"2",21,486438.148601248,501880.943741293,629142.807783187
"3",22,508853.00008528,525908.076839132,659638.010003765
"4",23,532534.341793662,551646.030485725,691920.709723931
"5",24,557579.969844212,578905.11570002,725959.613981907
"6",25,584098.11120503,607376.560043304,762204.021541234
"7",26,612206.5270374,637277.500072214,800343.034844447
"8",27,642034.92624388,669822.769556411,841150.098575467
"9",28,673725.030659978,703351.971915993,884630.000660568
"10",29,707433.214257047,740166.602777381,930933.029902829
"11",30,743336.682426405,779340.733827604,979719.778677208
"12",31,781636.642986064,802674.066901765,1032420.45321388
"13",32,822557.46364761,846503.586815916,1088025.96232835
"14",33,866350.384328319,893269.986732645,1148384.35416564
"15",34,913301.615072931,943244.462270979,1211989.50083721
"16",35,963736.427838973,996525.157995415,1268133.28742586
"17",36,1018024.18316666,1054662.64444277,1342338.68307633
"18",37,1076582.24025011,1117783.67697996,1422441.44821288
"19",38,1139890.54856826,1184360.17627888,1508970.39614574
"20",39,1208503.86724864,1257857.52476915,1602817.33703556
"21",40,1283066.59437881,1335927.50974373,1704472.0212843
"22",41,1364330.2053605,1422868.02884576,1814798.89740515
"23",42,1453175.50741443,1481100.4870755,1935999.1775418
"24",43,1550650.15214114,1583113.49348958,2069022.77133809
"25",44,1658007.69186927,1694867.35794116,2214203.74350067
"26",45,1776759.91648588,1818672.36680581,2375944.72742359
"27",46,1908731.91886271,1955081.67182544,2553445.1948519
"28",47,2056143.79148299,2109367.59223604,2755699.99466338
"29",48,2221739.45343835,2279942.11309298,2977980.30435306
"30",49,2408953.6659511,2471817.872679,3228095.47847046
"31",50,2622142.25158047,2691395.79108653,3476603.39685569
"32",51,2866903.58417455,2939823.34693226,3801709.37021884
"33",52,3150563.92884877,3232457.79148392,4177985.87987665
"34",53,3482903.58145519,3569518.50844815,4616824.68528576
"35",54,3877284.04387514,3971941.64670632,5136227.47019606
"36",55,4352418.93979726,4446601.74467314,5758909.76670055
"37",56,4935338.89708611,5043653.49063877,6521269.8960454
"38",57,5666586.95002989,5771603.58479924,7474441.37591219
"39",58,6609867.78636388,6727724.52281504,8698715.61972899
"40",59,7871347.87135717,7988266.95326367,10328553.4782635
"41",60,9642133.62820861,9734422.31505246,12600334.4646548
"42",61,12304419.7454395,12368462.3404255,16011253.296237
"43",62,16750000.8706772,16778477.8488427,21683487.5908504
"44",63,25654283.4963551,25546764.6382807,32993131.5513079
"45",64,52394535.9154416,51894102.8720309,66935060.7663
