"","edad","prima","per_50","per_90"
"1",20,521383.82861362,527192.08508465,606894.336205848
"2",21,545258.285682955,552442.366035376,636011.537209028
"3",22,570456.328435721,579189.804047283,666542.272501704
"4",23,597076.799406898,606691.890840914,699180.141500706
"5",24,625227.400109994,626878.063714226,733319.989260928
"6",25,655023.596806168,658071.716715736,769932.423679405
"7",26,686592.952058709,691291.598273413,808742.591239544
"8",27,720076.923477061,726357.647317855,850100.928071335
"9",28,755634.07951262,763406.875051928,893410.432758581
"10",29,793441.16062964,803280.812993916,940188.679582696
"11",30,833693.993742809,845911.925489711,990038.064818534
"12",31,876610.532641909,890617.924271173,1042465.04865998
"13",32,922435.954052433,939272.384963382,1088989.30757087
"14",33,971444.53463458,990221.197903023,1149337.62872157
"15",34,1023948.76564846,1044583.05314985,1214241.74988177
"16",35,1080303.00505695,1086536.44279129,1283839.6935222
"17",36,1140909.93016403,1149909.97673682,1358830.91672463
"18",37,1206228.14484149,1218356.25602284,1439506.92575035
"19",38,1276785.89030973,1291867.20838163,1527040.84437516
"20",39,1353194.70581889,1372141.99917445,1621928.99040053
"21",40,1436164.28138608,1458344.8346146,1724960.33982512
"22",41,1526521.67994547,1552041.74863989,1836738.76135482
"23",42,1625237.7886237,1655634.9902353,1959438.1106775
"24",43,1733460.86584592,1769485.71233629,2093141.491516
"25",44,1852559.78228558,1892621.92324656,2241405.3033637
"26",45,1984173.90297364,2030810.59711677,2405094.10000081
"27",46,2130288.65841763,2181096.05242318,2586984.5424677
"28",47,2293332.9505038,2311228.67679306,2788027.03691706
"29",48,2476310.67516999,2499671.52855746,3015370.47037972
"30",49,2682981.27757959,2712575.11473145,3272197.48923107
"31",50,2918106.41779393,2953563.62053735,3525576.05479754
"32",51,3187806.59279303,3230537.27382814,3856607.16963415
"33",52,3500084.55764697,3549038.47947546,4239193.58024454
"34",53,3865619.59692551,3923759.25661818,4686783.51820499
"35",54,4298979.74990031,4362226.91554495,5216515.14067652
"36",55,4820560.27198811,4894681.55379525,5852021.36093005
"37",56,5459815.06551135,5546067.74518548,6630810.71920297
"38",57,6260928.34611622,6352937.39937629,7604462.73699186
"39",58,7293351.84719778,7398897.25060773,8854391.50926
"40",59,8672875.40134083,8794650.02958531,10524336.6264861
"41",60,10607957.5910268,10731464.4158354,12862718.2989168
"42",61,13515523.4542386,13406026.3236079,16367967.7818807
"43",62,18368399.7739105,18187373.087194,22195236.2316049
"44",63,28085086.1435008,27747299.5288284,33864456.5728382
"45",64,57258158.257092,56410427.853679,68846645.1418595
